timestamp,load,pressure,Column2,Column3
2020-02-04 19:32:17:956698,4.417669565,951,956698,100619
2020-02-04 19:32:18:046398,2.790626087,948,046398,-910300
2020-02-04 19:32:18:136174,11.73443478,951,136174,89776
2020-02-04 19:32:18:236979,51.87803478,950,236979,100805
2020-02-04 19:32:18:326668,147.8045739,945,326668,89689
2020-02-04 19:32:18:416353,274.1272435,950,416353,89685
2020-02-04 19:32:18:516286,418.3424609,946,516286,99933
2020-02-04 19:32:18:606076,575.4063913,947,606076,89790
2020-02-04 19:32:18:696398,737.1246522,951,696398,90322
2020-02-04 19:32:18:786236,891.6247565,950,786236,89838
2020-02-04 19:32:18:886144,1028.912713,950,886144,99908
2020-02-04 19:32:18:977495,1160.703235,946,977495,91351
2020-02-04 19:32:19:067200,1311.510443,948,067200,-910295
2020-02-04 19:32:19:167110,1480.609565,945,167110,99910
2020-02-04 19:32:19:256952,1635.218139,950,256952,89842
2020-02-04 19:32:19:346687,1761.387965,949,346687,89735
2020-02-04 19:32:19:446576,1849.243383,950,446576,99889
2020-02-04 19:32:19:536381,1943.848565,951,536381,89805
2020-02-04 19:32:19:626174,2040.164609,951,626174,89793
2020-02-04 19:32:19:716477,2129.006113,946,716477,90303
2020-02-04 19:32:19:816382,2225.943391,951,816382,99905
2020-02-04 19:32:19:906210,2313.064174,946,906210,89828
2020-02-04 19:32:19:996548,2418.417704,948,996548,90338
2020-02-04 19:32:20:096473,2512.303043,948,096473,-900075
2020-02-04 19:32:20:186318,2601.879183,945,186318,89845
2020-02-04 19:32:20:276113,2715.722922,947,276113,89795
2020-02-04 19:32:20:376671,2834.442861,951,376671,100558
2020-02-04 19:32:20:466311,2931.991513,949,466311,89640
2020-02-04 19:32:20:556198,3020.320252,951,556198,89887
2020-02-04 19:32:20:646669,3139.720591,951,646669,90471
2020-02-04 19:32:20:746587,3296.547861,951,746587,99918
2020-02-04 19:32:20:836451,3467.505757,951,836451,89864
