timestamp,load,force,pressure
2020-02-02 19:59:08:659814,368052,1691.395513,1023
2020-02-02 19:59:08:752540,384724,1773.595722,1023
2020-02-02 19:59:08:845234,421073,1952.812096,1023
2020-02-02 19:59:08:938008,468804,2188.146678,1023
2020-02-02 19:59:09:030696,507528,2379.072835,1023
2020-02-02 19:59:09:123362,530655,2493.099,1023
2020-02-02 19:59:09:216018,537142,2525.08273,1023
2020-02-02 19:59:09:308698,549427,2585.653122,1023
2020-02-02 19:59:09:401372,576340,2718.345913,1023
2020-02-02 19:59:09:494014,605162,2860.450904,1023
2020-02-02 19:59:09:586710,618680,2927.100522,1023
2020-02-02 19:59:09:679412,621897,2942.96173,1023
2020-02-02 19:59:09:772066,633173,2998.557313,977
2020-02-02 19:59:09:864743,656966,3115.867148,888
2020-02-02 19:59:09:957472,686027,3259.150513,827
2020-02-02 19:59:10:050157,700906,3332.510452,830
2020-02-02 19:59:10:142782,700381,3329.921974,835
2020-02-02 19:59:10:235565,697086,3313.676191,833
2020-02-02 19:59:10:328313,697327,3314.864426,833
2020-02-02 19:59:10:421047,700160,3328.832348,992
2020-02-02 19:59:10:513738,701796,3336.898539,941
2020-02-02 19:59:10:606407,700917,3332.564687,812
2020-02-02 19:59:10:699103,696091,3308.770409,810
2020-02-02 19:59:10:791785,684799,3253.095939,809
2020-02-02 19:59:10:884519,671244,3186.263896,808
2020-02-02 19:59:10:977202,661208,3136.782052,820
2020-02-02 19:59:11:069945,655194,3107.130417,823
2020-02-02 19:59:11:162650,650716,3085.05193,825
2020-02-02 19:59:11:255359,646579,3064.654722,829
2020-02-02 19:59:11:348095,637059,3017.716983,825
2020-02-02 19:59:11:440791,618733,2927.361835,826
2020-02-02 19:59:11:533492,570806,2691.060887,826
2020-02-02 19:59:11:626167,453702,2113.687252,829
2020-02-02 19:59:11:718857,281679,1265.53907,824
2020-02-02 19:59:11:811551,135904,546.8049391,827
2020-02-02 19:59:11:904231,42190,84.75417391,829
2020-02-02 19:59:11:996867,-8774,-166.5205043,826
2020-02-02 19:59:12:089625,-42511,-332.8585826,829
2020-02-02 19:59:12:182312,-74222,-489.2076,832
2020-02-02 19:59:12:274962,-112193,-676.4211391,826
2020-02-02 19:59:12:367699,-164682,-935.2147304,832
2020-02-02 19:59:12:460347,-231595,-1265.124913,827
2020-02-02 19:59:12:553029,-303161,-1617.976409,829
2020-02-02 19:59:12:645736,-364432,-1920.069078,831
2020-02-02 19:59:12:738505,-420350,-2195.76913,830
2020-02-02 19:59:12:831244,-471547,-2448.1926,831
2020-02-02 19:59:12:923949,-512193,-2648.595052,829
2020-02-02 19:59:13:016897,-551631,-2843.041539,831
2020-02-02 19:59:13:109922,-592199,-3043.059417,831
2020-02-02 19:59:13:202852,-639594,-3276.737374,830
2020-02-02 19:59:13:295669,-676211,-3457.275104,833
2020-02-02 19:59:13:388558,-639844,-3277.969983,831
2020-02-02 19:59:13:481451,-463884,-2410.410678,829
2020-02-02 19:59:13:574311,-229819,-1256.368461,832
2020-02-02 19:59:13:667155,-72485,-480.6434348,832
2020-02-02 19:59:13:760031,32806,38.48697391,830
2020-02-02 19:59:13:852856,141951,576.6192783,833
2020-02-02 19:59:13:945628,249610,1107.424957,837
2020-02-02 19:59:14:038484,339156,1548.92567,833
2020-02-02 19:59:14:131263,405144,1874.2752,831
2020-02-02 19:59:14:224291,445534,2073.415461,832
2020-02-02 19:59:14:317204,472622,2206.971078,830
2020-02-02 19:59:14:410061,503430,2358.867913,1023
2020-02-02 19:59:14:502872,545107,2564.353643,1023
2020-02-02 19:59:14:595661,597226,2821.322974,1023
2020-02-02 19:59:14:688520,642705,3045.554217,1023
2020-02-02 19:59:14:781365,674078,3200.236748,1023
2020-02-02 19:59:14:874189,696323,3309.91427,1023
2020-02-02 19:59:14:967007,717833,3415.967922,1023
2020-02-02 19:59:15:059884,741663,3533.460183,1023
2020-02-02 19:59:15:152582,770558,3675.925096,1023
2020-02-02 19:59:15:245197,812772,3884.05847,1023
2020-02-02 19:59:15:338004,861248,4123.066226,1023
2020-02-02 19:59:15:430716,891424,4271.847026,1023
2020-02-02 19:59:15:523408,913931,4382.816322,1023
2020-02-02 19:59:15:616095,930732,4465.652557,1023
2020-02-02 19:59:15:708830,847353,4054.557835,1023
2020-02-02 19:59:15:801501,597301,2821.692757,1023
2020-02-02 19:59:15:894143,315932,1434.421252,1023
2020-02-02 19:59:15:986771,134303,538.911313,1023
2020-02-02 19:59:16:079393,46297,105.0034696,1023
2020-02-02 19:59:16:172048,23520,-7.297043478,1023
2020-02-02 19:59:16:264723,21677,-16.38383478,1023
2020-02-02 19:59:16:357496,28628,17.88761739,1023
2020-02-02 19:59:16:450201,64108,192.8194435,1023
2020-02-02 19:59:16:542903,149394,613.3165043,1023
2020-02-02 19:59:16:635573,275010,1232.658,1023
2020-02-02 19:59:16:728427,398437,1841.206774,1023
2020-02-02 19:59:16:821120,511505,2398.681174,1023
2020-02-02 19:59:16:913815,606892,2868.980557,1023
2020-02-02 19:59:17:006570,675943,3209.432009,1023
2020-02-02 19:59:17:099368,719291,3423.156496,1023
2020-02-02 19:59:17:192061,763483,3641.04227,1023
2020-02-02 19:59:17:285168,802481,3833.319365,1023
2020-02-02 19:59:17:378187,833952,3988.485078,1023
2020-02-02 19:59:17:471052,877834,4204.842417,1023
2020-02-02 19:59:17:563901,931167,4467.797296,1023
2020-02-02 19:59:17:656996,872762,4179.835252,1023
2020-02-02 19:59:17:749905,622137,2944.145035,1023
2020-02-02 19:59:17:842785,311374,1411.94833,1023
2020-02-02 19:59:17:935756,125386,494.9466261,1023
2020-02-02 19:59:18:028713,57241,158.9621478,1023
2020-02-02 19:59:18:121552,25425,2.095434783,1023
2020-02-02 19:59:18:214402,-19128,-217.5702261,1023
2020-02-02 19:59:18:307338,-89254,-563.3218957,1023
2020-02-02 19:59:18:400142,-176633,-994.1383565,1023
2020-02-02 19:59:18:492901,-259748,-1403.931443,1023
2020-02-02 19:59:18:585601,-326742,-1734.240991,1023
2020-02-02 19:59:18:678359,-384397,-2018.505209,1023
2020-02-02 19:59:18:771029,-438368,-2284.605704,1023
2020-02-02 19:59:18:863854,-495094,-2564.289548,1023
2020-02-02 19:59:18:956563,-557676,-2872.846017,1023
2020-02-02 19:59:19:049259,-621793,-3188.970704,1023
2020-02-02 19:59:19:141908,-677987,-3466.031557,1023
2020-02-02 19:59:19:234585,-704469,-3596.59933,1023
2020-02-02 19:59:19:327370,-644966,-3303.22367,1023
2020-02-02 19:59:19:420115,-474030,-2460.43487,1023
2020-02-02 19:59:19:512940,-279232,-1499.996035,1023
2020-02-02 19:59:19:605597,-133205,-780.0194348,1023
2020-02-02 19:59:19:698330,-27333,-258.0244435,1023
2020-02-02 19:59:19:791122,61830,181.587913,1023
2020-02-02 19:59:19:883845,160038,665.7960522,1023
2020-02-02 19:59:19:976506,281259,1263.468287,1023
2020-02-02 19:59:20:069230,400684,1852.285461,1023
2020-02-02 19:59:20:161903,501385,2348.785174,1023
2020-02-02 19:59:20:254610,579132,2732.111687,1023
2020-02-02 19:59:20:347359,641479,3039.509504,1023
2020-02-02 19:59:20:440064,694713,3301.97627,1023
2020-02-02 19:59:20:532719,739540,3522.99287,1023
2020-02-02 19:59:20:625392,772828,3687.117183,1023
2020-02-02 19:59:20:718259,796487,3803.766339,1023
2020-02-02 19:59:20:811009,814283,3891.508357,1023
2020-02-02 19:59:20:903698,836649,4001.782461,1023
2020-02-02 19:59:20:996438,865299,4143.039417,1023
2020-02-02 19:59:21:089118,883627,4233.404426,992
2020-02-02 19:59:21:181845,886391,4247.032148,870
2020-02-02 19:59:21:274536,875582,4193.739078,795
2020-02-02 19:59:21:367193,875014,4190.938591,729
2020-02-02 19:59:21:459904,901664,4322.334678,726
2020-02-02 19:59:21:552581,945736,4539.6288,669
2020-02-02 19:59:21:645388,971911,4668.68293,620
2020-02-02 19:59:21:738192,973801,4678.001452,621
2020-02-02 19:59:21:830906,967034,4644.6372,622
2020-02-02 19:59:21:923610,962408,4621.829009,625
2020-02-02 19:59:22:016295,969926,4658.896017,622
2020-02-02 19:59:22:109005,982247,4719.643904,623
2020-02-02 19:59:22:201706,953501,4577.913626,631
2020-02-02 19:59:22:294382,898957,4308.987991,626
2020-02-02 19:59:22:387037,837513,4006.042357,633
2020-02-02 19:59:22:479846,738676,3518.732974,629
2020-02-02 19:59:22:572536,561675,2646.041087,629
2020-02-02 19:59:22:665220,328475,1496.263696,631
2020-02-02 19:59:22:757972,142453,579.0943565,635
2020-02-02 19:59:22:850726,24136,-4.259895652,633
2020-02-02 19:59:22:943394,-33629,-289.0664609,632
2020-02-02 19:59:23:035951,-47046,-355.2181043,631
2020-02-02 19:59:23:128592,-50728,-373.3719652,631
2020-02-02 19:59:23:221104,-73973,-487.9799217,633
2020-02-02 19:59:23:313613,-80103,-518.203487,636
2020-02-02 19:59:23:406176,-18360,-213.7836522,633
2020-02-02 19:59:23:498839,21999,-14.79623478,639
2020-02-02 19:59:23:591524,24846,-0.759286957,637
2020-02-02 19:59:23:684192,24603,-1.957382609,633
2020-02-02 19:59:23:776850,24928,-0.354991304,638
2020-02-02 19:59:23:869506,25061,0.300756522,632
2020-02-02 19:59:23:962058,24996,-0.019721739,638
2020-02-02 19:59:24:054722,25133,0.655747826,639
2020-02-02 19:59:24:147400,24989,-0.054234783,632
2020-02-02 19:59:24:239891,24905,-0.468391304,635
2020-02-02 19:59:24:332392,24977,-0.1134,639
2020-02-02 19:59:24:424872,25036,0.177495652,637
2020-02-02 19:59:24:517392,24829,-0.843104348,634
2020-02-02 19:59:24:609906,24649,-1.730582609,634
2020-02-02 19:59:24:702436,24807,-0.951573913,637
2020-02-02 19:59:24:794957,24865,-0.665608696,704
2020-02-02 19:59:24:887498,24623,-1.858773913,1023
2020-02-02 19:59:24:980238,24491,-2.509591304,1023
2020-02-02 19:59:25:072800,24557,-2.184182609,1023
2020-02-02 19:59:25:165278,24788,-1.045252174,1023
2020-02-02 19:59:25:257845,25059,0.290895652,1023
2020-02-02 19:59:25:350390,25202,0.995947826,1023
2020-02-02 19:59:25:442886,25085,0.419086957,1023
2020-02-02 19:59:25:535410,25208,1.025530435,1023
2020-02-02 19:59:25:627978,25048,0.23666087,1023
2020-02-02 19:59:25:720472,25005,0.024652174,1023
2020-02-02 19:59:25:812965,24667,-1.641834783,1023
2020-02-02 19:59:25:905447,24605,-1.947521739,1023
2020-02-02 19:59:25:997968,25087,0.428947826,1023
2020-02-02 19:59:26:090385,25066,0.325408696,1023
2020-02-02 19:59:26:182865,24771,-1.129069565,1023
2020-02-02 19:59:26:275334,24369,-3.111104348,1023
2020-02-02 19:59:26:367855,24779,-1.089626087,1023
2020-02-02 19:59:26:460331,25128,0.631095652,1023
2020-02-02 19:59:26:552802,25098,0.483182609,1023
2020-02-02 19:59:26:645279,25030,0.147913043,1023
2020-02-02 19:59:26:737826,24948,-0.256382609,1023
2020-02-02 19:59:26:830324,25088,0.433878261,1023
2020-02-02 19:59:26:922791,24892,-0.532486957,1023
2020-02-02 19:59:27:025353,24981,-0.093678261,1023
2020-02-02 19:59:27:117857,24910,-0.44373913,1023
2020-02-02 19:59:27:210425,24678,-1.5876,1023
2020-02-02 19:59:27:303081,24520,-2.366608696,1023
2020-02-02 19:59:27:395711,24632,-1.8144,1023
2020-02-02 19:59:27:488460,24843,-0.774078261,1023
2020-02-02 19:59:27:581108,24654,-1.705930435,1023
2020-02-02 19:59:27:673741,24773,-1.119208696,1023
2020-02-02 19:59:27:766486,25044,0.21693913,1023
2020-02-02 19:59:27:859205,24980,-0.098608696,1023
2020-02-02 19:59:27:951885,24530,-2.317304348,1023
2020-02-02 19:59:28:044553,24577,-2.085573913,1023
2020-02-02 19:59:28:137204,24712,-1.419965217,1023
2020-02-02 19:59:28:229989,25087,0.428947826,1023
2020-02-02 19:59:28:322704,24803,-0.971295652,1023
2020-02-02 19:59:28:415382,24863,-0.675469565,1023
2020-02-02 19:59:28:507987,24437,-2.775834783,1023
2020-02-02 19:59:28:600489,24747,-1.2474,1023
2020-02-02 19:59:28:693202,25195,0.961434783,1023
2020-02-02 19:59:28:785957,25284,1.400243478,1023
2020-02-02 19:59:28:878698,25131,0.645886957,1023
2020-02-02 19:59:28:971360,25071,0.35006087,1023
2020-02-02 19:59:29:063975,25024,0.118330435,1023
2020-02-02 19:59:29:156660,24921,-0.389504348,1023
2020-02-02 19:59:29:249400,25039,0.192286957,1023
2020-02-02 19:59:29:342047,24893,-0.527556522,1023
2020-02-02 19:59:29:434712,24922,-0.384573913,1023
2020-02-02 19:59:29:527473,24970,-0.147913043,1023
2020-02-02 19:59:29:620240,24939,-0.300756522,1023
2020-02-02 19:59:29:712942,25038,0.187356522,1023
2020-02-02 19:59:29:805615,24937,-0.310617391,1023
2020-02-02 19:59:29:898108,FALSE,-123.2608696,1023
2020-02-02 19:59:29:899813,-131073,-769.5077478,1023
2020-02-02 19:59:29:992371,24601,-1.967243478,1023
2020-02-02 19:59:30:085012,24642,-1.765095652,1023
2020-02-02 19:59:30:177703,25383,1.888356522,1023
2020-02-02 19:59:30:270345,25376,1.853843478,1023
