timestamp,load_old,load_raw,pressure_raw,load,pressure,,,,multiply load by 1.7 to adjust for area difference (92 instead of 120mm)
2020-02-14 15:54:22:615336,178.2795913,-11159,690,-5.182515674,661.4803536,,,,
2020-02-14 15:54:22:874134,178.0232087,-11107,699,-4.928446466,672.8127007,,,,
2020-02-14 15:54:23:132895,176.7807391,-10854.99999,688,-3.697187918,658.9620543,,,,
2020-02-14 15:54:23:392250,178.3338261,-11170,690,-5.236261103,661.4803536,,,,
2020-02-14 15:54:23:650975,177.6928696,-11040.00001,697,-4.601088082,670.2944013,,,,
2020-02-14 15:54:23:910806,178.6000696,-11224.00001,692,-5.500102234,663.998653,,,,
2020-02-14 15:54:24:169419,177.3082957,-10962.00001,687,-4.219984269,657.7029046,,,,
2020-02-14 15:54:24:428123,178.2845217,-11159.99999,697,-5.187401586,670.2944013,,,,
2020-02-14 15:54:24:685462,123.2608696,-7.05E-06,679,49.33976109,647.6297072,,,,
2020-02-14 15:54:24:944436,177.890087,-11080.00001,690,-4.79652595,661.4803536,,,,
2020-02-14 15:54:25:203377,177.8062696,-11063.00001,692,-4.713464851,663.998653,,,,
2020-02-14 15:54:25:463290,178.6740261,-11239,673,-5.57339141,640.0748092,,,,
2020-02-14 15:54:25:722021,179.0684609,-11319.00001,663,-5.964267146,627.4833124,,,,
2020-02-14 15:54:25:980536,178.5556957,-11215.00001,686,-5.456128729,656.4437549,,,,
2020-02-14 15:54:26:241272,179.1177652,-11329,684,-6.013126563,653.9254556,,,,
2020-02-14 15:54:26:500590,178.8712435,-11279,665,-5.768829278,630.0016118,,,,
2020-02-14 15:54:26:759938,178.2697304,-11156.99999,675,-5.172743751,642.5931085,,,,
2020-02-14 15:54:27:018500,175.0945304,-10512.99999,689,-2.026194216,660.221204,,,,
2020-02-14 15:54:27:275558,123.2608696,-7.05E-06,689,49.33976109,660.221204,,,,
2020-02-14 15:54:27:789837,178.5310435,-11210,695,-5.431698971,667.776102,,,,
2020-02-14 15:54:28:048375,177.1948957,-10939.00001,681,-4.1076075,650.1480066,,,,
2020-02-14 15:54:28:307105,177.845713,-11070.99999,695,-4.752552345,667.776102,,,,
2020-02-14 15:54:28:565833,177.959113,-11093.99999,662,-4.864929114,626.2241628,,,,
2020-02-14 15:54:28:824840,178.8219391,-11268.99999,696,-5.719969762,669.0352517,,,,
2020-02-14 15:54:29:085455,180.1630174,-11541,697,-7.048947244,670.2944013,,,,
2020-02-14 15:54:29:344232,179.9707304,-11501.99999,696,-6.858395288,669.0352517,,,,
2020-02-14 15:54:29:609742,177.3576,-10972,680,-4.268843686,648.8888569,,,,
2020-02-14 15:54:29:868303,178.9254783,-11290.00001,678,-5.822574707,646.3705575,,,,
2020-02-14 15:54:30:127044,178.0133478,-11104.99999,694,-4.918674543,666.5169523,,,,
2020-02-14 15:54:30:385674,198.9874174,-15359,663,-25.70349091,627.4833124,,,,
2020-02-14 15:54:30:644585,304.740313,-36807.99999,678,-130.502157,646.3705575,,,,
2020-02-14 15:54:30:903305,374.1213913,-50880,698,-199.2571959,671.553551,,,,
2020-02-14 15:54:31:163268,483.1431652,-72992,699,-307.2952445,672.8127007,,,,
2020-02-14 15:54:31:421953,824.2405043,-142174,698,-645.3147941,671.553551,,,,
2020-02-14 15:54:31:682004,965.5862087,-170842,699,-785.3851079,672.8127007,,,,
2020-02-14 15:54:31:943832,2128.158078,-406636.9999,711,-1937.466858,687.9224968,,,,
2020-02-14 15:54:32:202644,3152.169939,-614329,680,-2952.238855,648.8888569,,,,
2020-02-14 15:54:32:462334,3789.132809,-743519.0001,692,-3583.454282,663.998653,,,,
2020-02-14 15:54:32:723317,4315.062287,-850189,710,-4104.638193,686.6633471,,,,
2020-02-14 15:54:32:982079,4713.850643,-931071.9999,733,-4499.828202,715.6237896,,,,
2020-02-14 15:54:33:240652,5180.856496,-1025791,975,-4962.620168,1020.338011,,,,
2020-02-14 15:54:33:500051,679.2364174,-112764,920,-501.6191081,951.0847787,,,,
2020-02-14 15:54:33:759349,278.6238,-31511,965,-104.6212985,1007.746514,,,,
2020-02-14 15:54:34:015630,123.2608696,-7.05E-06,917,49.33976109,947.3073296,,,,
2020-02-14 15:54:34:274497,123.5764174,-64.00000176,960,49.02706054,1001.450766,,,,
2020-02-14 15:54:34:533208,-121.9986783,49744.00001,920,292.386283,951.0847787,,,,
2020-02-14 15:54:34:791863,-310.8195391,88040.99999,936,479.5033754,971.2311734,,,,
2020-02-14 15:54:35:050452,-279.9451565,81779,972,448.9075785,1016.560562,,,,
2020-02-14 15:54:35:309850,-287.3654609,83284.00001,923,456.260928,954.8622277,,,,
2020-02-14 15:54:35:568420,-294.8547913,84803,957,463.6826807,997.6733166,,,,
2020-02-14 15:54:35:827176,-287.1238696,83235.00001,925,456.0215166,957.380527,,,,
2020-02-14 15:54:36:085878,-284.9988522,82804.00001,928,453.9156737,961.157976,,,,
2020-02-14 15:54:36:344693,-279.3140609,81651.00001,957,448.2821774,997.6733166,,,,
2020-02-14 15:54:36:603421,-281.7546261,82146,926,450.7007209,958.6396767,,,,
2020-02-14 15:54:36:862184,11.2413913,22720,958,160.3484652,998.9324663,,,,
2020-02-14 15:54:37:121601,219.5276087,-19525,978,-46.05834396,1024.11546,,,,
2020-02-14 15:54:37:380233,315.3210261,-38954,916,-140.9873982,946.04818,,,,
2020-02-14 15:54:37:639679,331.8774261,-42312,957,-157.3944065,997.6733166,,,,
2020-02-14 15:54:37:898334,244.3030435,-24550,928,-70.61022505,961.157976,,,,
2020-02-14 15:54:38:155409,123.2608696,-7.05E-06,948,49.33976109,986.3409695,,,,
2020-02-14 15:54:38:414240,283.8796435,-32577,972,-109.8297175,1016.560562,,,,
2020-02-14 15:54:38:672984,348.2366087,-45630,914,-173.6059769,943.5298806,,,,
2020-02-14 15:54:38:932992,321.4396957,-40195.00001,959,-147.0508578,1000.191616,,,,
2020-02-14 15:54:39:191657,287.4049043,-33291.99999,943,-113.3231691,980.0452212,,,,
2020-02-14 15:54:39:450310,293.3953826,-34507,930,-119.2595941,963.6762754,,,,
2020-02-14 15:54:39:709765,258.2068696,-27370.00001,929,-84.38859414,962.4171257,,,,
2020-02-14 15:54:39:969600,190.7535913,-13689,825,-17.54396028,831.4655596,,,,
2020-02-14 15:54:40:228150,120.3913565,582.0000044,771,52.183382,763.4714772,,,,
2020-02-14 15:54:40:485447,123.2608696,-7.05E-06,717,49.33976109,695.4773948,,,,
2020-02-14 15:54:40:744080,167.9059565,-9054.999996,691,5.097515742,662.7395033,,,,
2020-02-14 15:54:41:002890,175.8094435,-10658,664,-2.734656512,628.7424621,,,,
2020-02-14 15:54:41:262257,177.4857913,-10998,655,-4.395878291,617.410115,,,,
2020-02-14 15:54:41:521055,177.0568435,-10911,655,-3.970800973,617.410115,,,,
2020-02-14 15:54:41:782689,177.8013391,-11061.99999,656,-4.70857884,618.6692647,,,,
2020-02-14 15:54:42:041494,174.8775913,-10469,662,-1.811212601,626.2241628,,,,
2020-02-14 15:54:42:301590,177.8999478,-11081.99999,672,-4.806297774,638.8156595,,,,
2020-02-14 15:54:42:560167,177.6534261,-11032,669,-4.562000488,635.0382105,,,,
2020-02-14 15:54:42:819570,176.3863043,-10774.99999,675,-3.306312182,642.5931085,,,,
2020-02-14 15:54:43:078568,176.8596261,-10871,672,-3.775363105,638.8156595,,,,
2020-02-14 15:54:43:337494,178.6690957,-11238.00001,666,-5.568505498,631.2607615,,,,
2020-02-14 15:54:43:595351,123.2608696,-7.05E-06,642,49.33976109,601.0411693,,,,
2020-02-14 15:54:43:855285,173.6301913,-10216,646,-0.575068141,606.077768,,,,
2020-02-14 15:54:44:114164,179.3889391,-11383.99999,653,-6.281853607,614.8918157,,,,
2020-02-14 15:54:44:372949,177.3132261,-10963,649,-4.224870181,609.855217,,,,
2020-02-14 15:54:44:632298,174.3796174,-10368,656,-1.31773202,618.6692647,,,,
2020-02-14 15:54:44:892240,169.4393217,-9365.999992,649,3.577986403,609.855217,,,,
2020-02-14 15:54:45:151847,169.0153043,-9279.99999,659,3.99817781,622.4467137,,,,
2020-02-14 15:54:45:410473,132.4364087,-1861.000001,679,40.24701471,647.6297072,,,,
2020-02-14 15:54:45:669929,-410.7841043,108316,677,578.5659403,645.1114079,,,,
2020-02-14 15:54:45:928555,-1456.297591,320368.9999,669,1614.64555,635.0382105,,,,
2020-02-14 15:54:46:188075,123.2608696,-7.05E-06,647,49.33976109,607.3369176,,,,
2020-02-14 15:54:46:445508,123.2608696,-7.05E-06,629,49.33976109,584.6722235,,,,
2020-02-14 15:54:46:704241,-3601.090957,755380.0001,642,3740.086016,601.0411693,,,,
2020-02-14 15:54:46:962969,-4228.952243,882723.9999,654,4362.281984,616.1509654,,,,
2020-02-14 15:54:47:222966,-4822.132852,1003034,649,4950.110205,609.855217,,,,
2020-02-14 15:54:47:481729,-5553.010643,1151272,647,5674.39314,607.3369176,,,,
2020-02-14 15:54:47:740278,-6319.604504,1306754,639,6434.069871,597.2637203,,,,
2020-02-14 15:54:47:999776,-7419.130904,1529762,636,7523.675024,593.4862712,,,,
2020-02-14 15:54:48:258381,-7442.358183,1534473,638,7546.692719,596.0045706,,,,
2020-02-14 15:54:48:517133,-7215.849078,1488532,640,7322.227451,598.5228699,,,,
2020-02-14 15:54:48:775538,123.2608696,-7.05E-06,632,49.33976109,588.4496725,,,,
2020-02-14 15:54:49:034166,-6996.124252,1443967,631,7104.485246,587.1905229,,,,
2020-02-14 15:54:49:292859,-7049.930087,1454880,638,7157.80558,596.0045706,,,,
